polymer conc,Rejection,polymer conc,Resistancce,polymer conc,poresize
19.69638641,84.16471453,8.40079313,7.482300593,15.16925407,15.33542425
19.8633813,84.07726523,8.60598593,7.402672298,15.1995072,15.34961516
20.00651978,84.0148199,8.856777131,7.256801229,15.22976033,15.36380608
20.14965827,83.92735215,9.130367531,7.12414966,15.27513874,15.39219006
20.29279675,83.8398844,9.381158732,6.991518845,15.33564564,15.41702309
20.45979165,83.76494631,9.517953932,6.898712554,15.38102598,15.43476066
20.57907371,83.67746011,9.700347532,6.819105011,15.42640503,15.45959584
20.69835578,83.61499633,9.973937933,6.686453443,15.48691193,15.48442887
20.81763785,83.54002133,10.20192993,6.55384338,15.55498083,15.51990723
20.96077633,83.44004237,10.49831953,6.421171059,15.60792638,15.53054612
21.10391482,83.36508583,10.72631153,6.30180125,15.64574215,15.55183357
21.19934047,83.3151148,10.97710273,6.155930181,15.69868449,15.58021648
21.29476613,83.22761015,11.27349233,6.02325786,15.76675724,15.59440203
21.43790461,83.16516482,11.54708274,5.903846546,15.83482743,15.62278278
21.53333026,83.07766016,11.82067314,5.784435231,15.90546529,15.64494779
21.67646875,83.01521483,12.02586594,5.651845921,15.9842415,15.68189956
21.81960723,82.92774708,12.27665714,5.532455359,16.06301772,15.71885133
21.9388893,82.85277209,12.57304674,5.386542785,16.14179616,15.74348211
22.08202778,82.76530434,12.86943634,5.227389957,16.22057238,15.78043388
22.20130985,82.69032934,13.21142434,5.068195624,16.32560733,15.8297029
22.2967355,82.64035831,13.39381794,4.962107574,16.40438354,15.86665467
22.43987398,82.56540177,13.66740834,4.842696259,16.48316422,15.87896447
22.51144323,82.5279235,13.84980194,4.749848462,16.56194043,15.91591624
22.60686888,82.45293006,14.14619154,4.590695634,16.61445344,15.96519272
22.72615095,82.37795506,14.41978194,4.47128432,16.69322966,16.00214449
22.79772019,82.31545437,14.57937634,4.378457276,16.79826684,16.03909253
22.94085867,82.25300904,14.71617154,4.298891238,16.90330402,16.07604057
23.08399716,82.1780525,14.89856514,4.232523949,17.03460218,16.11298487
23.1555664,82.11555181,15.12655714,4.166115154,17.1658981,16.16225017
23.27484847,82.05308803,15.33174994,4.139447872,17.27093305,16.21151919
23.37027412,81.97809458,15.55974194,4.073039077,17.40222897,16.26078449
23.5134126,81.90313804,15.81053314,4.059570543,17.53352712,16.2977288
23.63269467,81.81565184,16.03852514,4.032882509,17.66481858,16.37163607
23.79968957,81.74071375,16.17532034,4.006277485,17.82237324,16.43321862
23.96668446,81.64075324,16.33491474,3.992891962,18.03244761,16.50711469
24.08596653,81.55326704,16.54010754,3.966224681,18.16374129,16.56870097
24.22910501,81.46579929,16.76809954,3.966017153,18.26877625,16.61797
24.39609991,81.3908612,16.92769394,3.939391377,18.4000744,16.65491431
24.49152557,81.30335654,17.15568595,3.912703342,18.47884838,16.70418706
24.63466405,81.21588879,17.42927635,3.899214056,18.58388333,16.75345609
24.77780253,81.14093225,17.65726835,3.859285768,18.66266178,16.77808687
24.92094101,81.06597571,17.86246115,3.84585874,18.82021644,16.83966942
25.0640795,80.99101917,18.13605155,3.8191292,18.92524915,16.90125943
25.20721798,80.94108505,18.38684275,3.792420412,19.03028634,16.93820747
25.30264363,80.86609161,18.63763395,3.752471372,19.16158003,16.99979375
25.44578211,80.82866869,18.93402355,3.738961332,19.26661275,17.06138376
25.61277701,80.75373061,19.18481475,3.712252545,19.39790867,17.11064906
25.77977191,80.69130373,19.34440915,3.712107276,19.50294362,17.15991808
25.92291039,80.65388082,19.52680275,3.672220493,19.63424177,17.19686239
26.08990529,80.57894273,19.68639715,3.672075224,19.76553769,17.24612769
26.25690018,80.51651585,19.89158995,3.632167689,19.84430944,17.30772143
26.37618225,80.47907449,20.11958195,3.605479654,20.0281273,17.35697926
26.47160791,80.44161467,20.30197555,3.592073379,20.18567973,17.4308828
26.61474639,80.37916934,20.50716835,3.57864635,20.34322992,17.51710732
